Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,23.358855527990006,23.419527880010758,22.084736135554188,22.69145965576172,20275200,0.0,0.0
2000-01-04,21.478010684768588,21.910301154059482,20.962295738947873,20.992631912231445,19410000,0.0,0.0
2000-01-05,20.408663783353916,21.17465227912454,19.506162486356846,20.62860107421875,25034000,0.0,0.0
2000-01-06,20.385917513978246,20.749951755299286,18.565746307373047,18.565746307373047,19321600,0.0,0.0
2000-01-07,19.627507962678607,20.871291311163652,19.627507962678607,20.74994659423828,18058800,0.0,0.0
2000-01-10,21.66003500045366,21.872388284771834,21.14431988139524,21.713123321533203,15488400,0.0,0.0
2000-01-11,21.098811833998734,21.34150125840131,20.370743560791016,20.62860107421875,11361200,0.0,0.0
2000-01-12,20.871297737093634,21.265668188521275,20.53759966280871,20.704448699951172,10398000,0.0,0.0
2000-01-13,21.584189516774725,21.720702310626425,21.12156282649951,21.59935760498047,9789200,0.0,0.0
2000-01-14,22.008897042792775,22.43360353293626,21.96339277599169,22.32742691040039,10158400,0.0,0.0
2000-01-18,21.84204677365861,21.99372765403124,21.569021188987875,21.705533981323242,11217600,0.0,0.0
2000-01-19,21.273245294888813,21.902721002366807,21.273245294888813,21.84204864501953,8918400,0.0,0.0
2000-01-20,21.955811032333692,21.978563168118495,21.40217572823685,21.81171417236328,7726800,0.0,0.0
2000-01-21,21.82688076173937,22.653541638400103,21.54627110635912,22.448772430419922,13140400,0.0,0.0
2000-01-24,22.53978075451321,22.68387760321299,21.493182590272692,21.84204864501953,14712000,0.0,0.0
2000-01-25,21.849636943613895,22.319847804601075,21.72070815914967,22.206087112426758,9765200,0.0,0.0
2000-01-26,22.084742374107485,22.50186491207998,22.02407000494785,22.206087112426758,9683600,0.0,0.0
2000-01-27,21.720708457027833,22.145415046969717,21.113984757110853,21.660036087036133,12648000,0.0,0.0
2000-01-28,22.63078840733567,22.934150182232933,21.242908287180704,21.857215881347656,17278000,0.0,0.0
